Название,Энергия (ккал),Белки (г),Углеводы (г),Жиры (г)
вода питьевая,0,0,0,0
Огурец свежий,16,0.82,0.18,2
Помидор,20,0.9,0.2,4
чай черный без сахара,0,0,0,0
яйцо куриное вареное,152,13,11,1
кофе без сахара с молоком,12,0.5,0.7,1
банан,94,1,0.2,22
вареная гречка на воде,105,3,0.62,20
Зелёный чай без сахара,0.4,0,0,0.1
Хлеб белый,253,11,4,48
Арбуз свежий,29,0.65,0.17,6
кофе растворимый без сахара и молока,2,0.1,0,0.4
Черный хлеб,201,7,1,41
помидоры,25,0.96,0.23,4
Сыр российский,363,23,29,0
Персик,46,0.9,0.2,10
Кофе натуральный вареный,1,0.2,0.04,0
Яблоко,63,0.37,0.4,13
Яйцо куриное жареное,196,14,14,0.6
Белый рис вареный на воде,117,3,0.4,25
Салат из огурцов и помидоров,57,0.81,4,3
Сахар,401,0,0,100
Яблоко красное,73,0.4,0,17
чай черный 2 ложки сахара,21,0,0,5
кофе натуральный без сахара,2,0.12,0.2,0
мёд пчелиный,333,0.27,0.04,82
Творог 5%,120,17,5,2
растворимый кофе с молоком и сахаром,42,1,2,6
Вода из фильтра,0,0,0,0
масло сливочное 82%,744,0.5,82,0.8
Молоко 3.2%,58,3,3,5
нектарин,41,1,0.1,8
яйцо куриное сырое,151,12,11,0.94
Слива свежая,50,0.5,0.3,10
Картофель вареный,85,2,0.1,19
Вареная куриная грудка,151,29,3,0
Сметана 15% Простоквашино,158,3,15,4
Хлеб,234,8,1,47
Макароны из твердых сортов пшеницы вареные,112,3,0.4,23
Груша свежая,58,0.44,0.33,13
Хлеб Бородинский,201,7,1,40
яблоко зеленое,42,0.96,0.46,9
чай с 1 чайной ложкой сахара,10,0,0,3
макароны отварные,133,4,3,24
Болгарский перец,27,1,0,5
Пюре картофельное с маслом,74,2,2,9
Абрикосы свежие,55,0.7,0.13,12
молоко 2.5% Весёлый Молочник,53,3,2,5
салат овощной заправленный маслом,57,2,3,6
Яичница глазунья 2 яйца,166,12,12,2
Вареная гречка с маслом,120,2,5,18
яблоко сезонное,48,0.4,0.4,10
кофе 1 ложка сахара,22,0.2,0.5,5
Сметана 20%,204,3,20,3
чай чёрный с молоком без сахара,9,0.68,0.3,0.97
Каша овсяная на воде,88,3,2,15
батон нарезной,257,8,1,52
Жареная картошка,147,2,5,23
Котлета куриная жареная,222,16,12,15
Морковь сырая,35,1,0.22,7
Вода с лимоном,2,0,0,0.4
Мандарин,57,0.72,0.3,12
Борщ с курицей,46,4,2,4
Голубика,39,1,0.5,7
Кефир 1%,35,3,1,4
Авокадо свежее,159,2,13,6
Малина свежая,73,1,0.58,13
Майонез,671,0.8,75,3
Бутерброд с колбасой,248,11,12,20
Филе вареное куриное,151,29,3,0
Йогурт греческий 2% Teos Теос Савушкин,67,8,2,4
Батон,238,8,1,51
грецкие орехи,718,16,63,18
Лук репчатый,43,1,0.25,9
Бутерброд с колбасой и сыром,262,11,16,18
Дыня,41,0.5,0.14,9
мед цветочный натуральный,314,0.8,0,80
Натуральный кофе с молоком и 1 ложкой сахара,28,2,0.9,3
Кукуруза вареная,101,3,1,18
Апельсин свежий,50,0.92,0.22,11
творог 0% обезжиренный,81,10,0,7
Вареная сосиска,255,11,23,0.47
Листья салата,16,1,0.3,1
Сырники (творожники) жареные,202,13,9,18
Курица в духовке,190,29,7,0
овсянка запаренная на воде,96,3,2,17
Капучино,33,2,1,3
Сыр твердый,347,22,28,5
чай травяной,0,0,0,0
Помидоры Черри,21,0.9,0.2,4
Колбаса Докторская,260,14,24,0
Печенье,437,8,13,71
Суп куриный с вермишелью,40,4,2,3
Виноград зеленый,69,0.7,0.2,18
овощной салат(помидоры.огурцы.зелень.оливковое масло),72,0.8,5,4
оливковое масло,896,0.03,99,0.15
Картофельное пюре с молоком и маслом,112,2,4,17
Творог 9%,169,16,9,3
молоко 1.5% жира,47,3,2,5
борщ со свининой,64,3,4,4
Лаваш тонкий Армянский,231,7,0.8,48
кефир крестьянский 2.5%,53,3,2,5
Плов с курицей,151,8,9,17
Coca-Cola classic (Кока-кола),45,0,0,11
Белок яичный варенный,47,11,0.2,1
Котлета свиная жареная,310,14,28,6
Курица отварная,170,25,7,0
Хлеб цельнозерновой,237,13,3,41
кофе 2 ложки сахара,42,0.2,0.5,10
овсяная каша на молоке и воде,103,3,2,16
Спагетти отварные,157,6,0.93,29
яичница 1 яйцо,160,13,11,1
Омлет с молоком,121,9,8,2
Творожный сыр сливочный Hochland,235,6,22,4
сало соленое с прослойкой,518,9,53,0
Кофе латте,45,2,2,4
булгур вареный на воде,97,3,0.24,19
вода кипяченая,0,0,0,0
чай черный с лимоном без сахара,4,0.1,0.03,0.6
масло подсолнечное,897,0.1,100,0.1
Капуста белокочанная,31,2,0.26,4
Перец фаршированный с рисом и фаршем,121,5,3,18
Салат из помидоров и огурцов со сметаной 15%,30,1,2,4
кофе растворимый с молоком,15,0.95,0.4,2
Пицца домашняя,271,10,11,29
Капуста тушеная,69,2,3,5
виноград,81,0.7,0.5,18
чай черный с сахаром 3 ч.л,31,0.15,0,8
Клубника свежая,34,0.79,0.37,6
Куриная грудка запечённая без масла,144,31,2,0.9
Курица жареная,224,24,13,0
Филе куриное запеченное,165,30,4,0
Кофе Американо,9,0.6,0.6,0.7
Свекла вареная,45,2,0.1,10
Огурец соленый,11,0.8,0.1,2
Блины тонкие без начинки,185,5,3,34
киви,71,1,0.63,14
виноград кишмиш белый,40,0.59,0.1,10
Овсянка на молоке,140,5,4,20
Куриное филе жаренное,179,29,7,0.6
Черешня,69,0.91,0.41,14
яйцо вареное всмятку,159,13,12,0.8
Шаурма с курицей,174,9,9,14
Миндаль,578,22,51,20
Сметана 15%,159,3,15,3
хлеб тостовый,266,8,3,54
перец красный сладкий,35,1,0.3,6
Гречневая каша на воде,92,3,0.6,20
Пиво светлое Жигулёвское,42,0.6,0,5
хлеб ржано-пшеничный,217,8,1,42
бутерброд с маслом и сыром,310,10,19,26
Пельмени,289,12,12,29
черный чай с лимоном и сахаром,12,0,0,3
варёные макароны с маслом,152,3,6,23
Пирог Шарлотка с яблоками,209,4,3,42
шоколадный батончик Snickers Сникерс,483,9,23,61
Колбаса полукопченая,251,12,20,3
Шашлык из свинины на углях,280,20,22,0.5
бульон куриный,36,3,1,4
кофе растворимый с сахаром,24,0.13,0.01,6
Сметана 10%,116,3,10,4
Черника,44,1,0.6,8
Печенье Мария галетное,400,9,9,71
виноград черный свежий,70,0.6,0.2,17
Яблоко голден,66,0.6,0.17,14
Плов со свининой,223,10,9,22
Сыр Голландский,342,26,28,0
финики сушеные,300,2,1,64
Омлет,174,12,13,2
Семечки подсолнечника,583,19,50,17
Хлеб с маслом,305,6,11,39
Вода минеральная,0,0,0,0
Компот ягодный,50,0.1,0.05,12
Макароны,344,10,1,72
Мороженое пломбир,257,4,14,30
Творог,136,21,4,3
Запеканка творожная,176,18,4,15
Картошка печеная,91,2,0.1,19
Суп с фрикадельками,53,2,4,2
борщ из говядины,47,3,2,3
Цикорий с молоком без сахара,18,0.5,0.5,3
Зеленый чай с сахаром,20,0,0,5
суп гороховый с картофелем,55,2,2,7
Чеснок,130,6,0.27,25
Кабачки жареные,87,1,6,4
Голубцы с рисом и мясом,93,8,6,2
Зефир,300,1,0.3,72
Масло сливочное 73%,666,1,73,1
Изюм,326,3,0.5,75
Оладьи на кефире,193,5,5,33
блины домашние на молоке,186,5,3,34
фундук (лесной орех),668,15,62,8
Котлета куриная на пару,135,22,2,4
Оливье,144,6,11,11
омлет 2 яйца с молоком 2%,98,7,7,3
протеин Whey сывороточный,363,76,5,7
Лаваш,274,8,0.7,57
творог со сметаной,159,11,12,2
Сосиска в тесте,275,7,21,14
Шоколад,540,9,30,59
Соус соевый,53,6,0.04,8
Кока кола zero Coca Cola,0.21,0,0,0
Овощи тушеные,33,1,0.1,6
Лосось слабосоленый,203,21,13,1
Хлопья овсяные Геркулес,351,14,7,59
сосиски,287,12,24,4
Куриное бедро запеченое,209,26,11,3
Кофейный напиток 3 в 1 Original MacCoffee,428,0,7,88
Сельдь (селедка) слабосоленая,179,18,13,0.13
Пицца с колбасой и сыром,243,11,14,17
Творог мягкий нежный обезжиренный 0.1% Савушкин,46,10,0.1,1
Масло сливочное 72.5% Простоквашино,650,1,72,1
Авокадо Хасс,168,2,15,3
Квашеная капуста,26,1,0.3,4
Гречка сухая,375,10,2,74
бутерброд с сыром,250,11,7,32
Лепешка из тандыра,248,8,1,50
жаренные яйца с маслом,196,14,15,0.8
Картофельное пюре на воде,88,2,0.5,19
масло растительное,899,0,100,0
борщ со свеклой и капустой,65,2,1,12
Капучино без добавления сахара,42,2,2,3
Отбивная из куриной грудки,178,19,11,7
Молодая картошка с укропом,94,3,5,12
Курица тушеная,200,28,13,3
инжир,88,1,0.41,18
говядина отварная нежирная,175,26,8,0.2
Суп куриный с овощами,56,5,2,5
укроп (зелень),34,3,0.3,3
Оладьи из кабачков с яйцом,95,4,2,14
Черная смородина,89,1,0.27,17
Конфета,370,2,14,60
Салат Цезарь с курицей,180,13,7,4
сосиска куриная,171,18,11,2
Жаренная куриная грудка,178,29,7,0.6
хлебцы хрустящие злаковый коктейль абрикосовый Dr. Korrner,320,10,2,60
Котлета свино-говяжья,284,13,21,9
Лук зеленый,29,2,0.2,5
Грейпфрут красный,42,0.8,0.1,9
Морковь по-корейски,113,1,8,9
Хлеб классический серый,182,6,0.3,40
Кофе эспрессо,4,0.2,0.4,0
